,Loan_ID,loan_status,Principal,terms,age,education,Gender
0,20166231,0,1000,30,45,0,1
1,20168902,0,1000,30,50,2,0
2,20160003,0,1000,30,33,2,0
3,20160004,0,1000,15,27,1,1
4,20160005,0,1000,30,28,1,0
5,20160706,0,300,7,35,3,1
6,20160007,0,1000,30,29,1,1
7,20160008,0,1000,30,36,1,1
8,20160909,0,1000,30,28,1,1
9,20160010,0,800,15,26,1,1
10,20160011,0,300,7,29,1,1
11,20160012,0,1000,15,39,0,1
12,20160013,0,1000,30,26,1,1
13,20160014,0,900,7,26,1,0
14,20160015,0,1000,7,27,0,1
15,20160016,0,800,15,26,1,1
16,20160017,0,1000,30,40,0,1
17,20160018,0,1000,15,32,0,1
18,20160019,0,1000,30,32,0,1
19,20160020,0,800,30,26,1,1
20,20160021,0,1000,30,26,1,1
21,20160022,0,1000,30,43,0,0
22,20160023,0,1000,30,25,0,1
23,20160024,0,1000,15,26,1,1
24,20160025,0,1000,30,26,1,1
25,20160026,0,1000,30,29,0,1
26,20160027,0,800,15,39,2,1
27,20170088,0,1000,15,34,2,1
28,20160029,0,1000,30,31,1,1
29,20160030,0,1000,30,33,1,1
30,88160031,0,800,15,33,0,1
31,20160032,0,1000,30,37,1,1
32,20160033,0,1000,30,27,1,1
33,22169034,0,1000,30,37,1,1
34,20160035,0,800,15,33,1,1
35,20160036,0,800,15,29,2,1
36,20160037,0,1000,30,27,0,1
37,20160038,0,700,15,33,0,1
38,20160039,0,1000,15,24,1,1
39,20160040,0,1000,30,21,2,1
40,20160041,0,1000,15,32,1,0
41,20160042,0,800,15,30,1,1
42,20160043,0,1000,7,31,2,1
43,20160044,0,1000,15,30,1,1
44,20160045,0,1000,15,24,2,0
45,20160046,0,800,7,35,0,1
46,20160047,0,1000,30,22,0,1
47,20160048,0,1000,30,32,1,1
48,20160049,0,1000,30,32,2,1
49,20160050,0,800,15,50,0,1
50,20160051,0,800,15,27,1,0
51,20160052,0,1000,30,35,2,0
52,20160053,0,800,15,35,2,0
53,20160054,0,1000,30,34,0,1
54,20160055,0,1000,30,21,0,1
55,20160056,0,1000,15,25,1,1
56,20160057,0,1000,30,27,0,1
57,20160058,0,1000,30,26,2,1
58,20160059,0,800,15,44,0,0
59,20160060,0,800,15,39,3,1
60,20160061,0,1000,30,34,2,1
61,20160062,0,1000,15,37,1,1
62,20160063,0,1000,30,34,0,1
63,20160064,0,1000,30,45,1,1
64,20160065,0,800,15,24,0,1
65,20160066,0,900,15,28,1,1
66,20160067,0,1000,30,28,2,1
67,20160068,0,1000,30,37,0,1
68,20160069,0,300,7,35,1,1
69,20160070,0,1000,30,43,2,1
70,20160071,0,800,15,29,1,1
71,20160072,0,800,15,29,0,1
72,20160073,0,1000,30,33,2,0
73,20160074,0,1000,15,34,1,1
74,20160075,0,1000,15,25,1,1
75,20160076,0,1000,30,30,0,1
76,20160077,0,1000,30,31,2,1
77,20160078,0,1000,30,35,1,1
78,20160079,0,1000,30,37,1,0
79,20160080,0,1000,30,44,0,0
80,20160081,0,1000,30,28,0,1
81,20160082,0,1000,7,25,1,1
82,20160083,0,1000,15,29,1,1
83,20160084,0,800,15,33,1,1
84,20160085,0,1000,30,37,0,0
85,20160086,0,1000,30,33,1,1
86,20160087,0,1000,30,24,0,0
87,20160088,0,1000,30,27,1,0
88,20160089,0,800,15,43,2,1
89,90160090,0,800,15,46,0,0
90,91160291,0,800,15,34,1,0
91,90160092,0,1000,7,32,2,0
92,90163093,0,800,15,38,0,1
93,20160094,0,800,15,27,0,1
