0,1,2,3,4,5,6
20160143,0,1000,7,27,0,1
20160384,1,1000,30,26,0,1
20160137,0,800,15,32,0,0
20160494,2,1000,15,29,1,1
20160124,0,1000,15,23,1,1
20160024,0,1000,15,26,1,1
20160070,0,1000,30,43,2,1
20160022,0,1000,30,43,0,0
20160376,1,800,15,26,0,0
20160016,0,800,15,26,1,1
20160280,0,800,30,31,1,1
20160227,0,1000,15,25,0,1
20160066,0,900,15,28,1,1
20160382,1,800,15,35,0,1
20160233,0,1000,30,37,1,1
20160083,0,1000,15,29,1,1
20160357,1,1000,30,45,0,1
20160304,1,800,15,27,1,1
20160500,2,1000,30,28,0,1
20160472,2,1000,30,27,2,1
20160456,2,1000,15,37,1,1
20160162,0,800,15,31,2,1
20160479,2,1000,15,22,0,1
20160365,1,800,15,22,1,1
20160497,2,1000,15,26,0,1
20160208,0,1000,30,27,1,1
20160321,1,1000,30,25,1,1
20160053,0,800,15,35,2,0
20160308,1,1000,30,40,0,1
20390453,2,1000,15,26,0,1
20160333,1,1000,30,21,0,1
20160166,0,1000,30,24,0,1
20160108,0,1000,30,31,0,1
20160482,2,1000,15,27,0,1
20160065,0,800,15,24,0,1
20160345,1,800,15,38,2,1
20160428,2,1000,30,27,1,0
20160440,2,1000,30,24,1,1
20160322,1,1000,30,28,0,1
91160291,0,800,15,34,1,0
20160314,1,1000,30,20,0,1
20160452,2,800,15,41,1,1
20167095,0,1000,30,33,0,1
20160300,0,1000,30,28,1,1
20160460,2,800,15,33,1,1
20160310,1,800,15,41,1,1
20160396,1,1000,30,25,0,1
20160094,0,800,15,27,0,1
20160020,0,800,30,26,1,1
20160200,0,1000,30,29,1,1
20160147,0,1000,30,26,1,0
20160160,0,1000,30,27,0,1
34160152,0,800,15,23,1,1
20160480,2,1000,30,27,2,1
20160169,0,1000,15,35,0,1
20160257,0,800,15,28,1,1
20160232,0,1000,7,34,1,0
20160423,2,800,15,23,0,1
20160068,0,1000,30,37,0,1
20160311,1,1000,30,30,1,1
20160255,0,1000,30,32,1,1
20160142,0,800,15,35,1,1
20160103,0,1000,30,30,1,1
20160429,2,1000,30,35,0,1
20160004,0,1000,15,27,1,1
20110409,2,1000,30,28,0,1
20160019,0,1000,30,32,0,1
20160148,0,300,7,37,3,1
20160251,0,800,15,38,1,1
20160265,0,800,15,23,1,1
20160032,0,1000,30,37,1,1
20160116,0,1000,15,25,0,1
20160249,0,1000,30,35,0,1
20160105,0,1000,15,35,1,1
25660470,2,1000,30,26,0,1
20160312,1,800,15,26,0,0
20160178,0,1000,30,30,1,1
20160248,0,800,15,34,0,1
20160118,0,1000,30,23,0,1
27160170,0,1000,30,38,1,1
20160416,2,800,15,33,1,1
20160122,0,1000,30,22,0,1
20160263,0,800,30,23,1,0
20160114,0,1000,30,33,1,1
20160493,2,1000,30,27,2,1
20160421,2,1000,15,47,0,0
20160284,0,1000,30,30,0,1
20160138,0,1000,15,22,1,1
20160192,0,1000,30,30,0,1
20160348,1,800,15,40,1,1
20160183,0,1000,30,35,0,1
