0,1,2,3,4,5,6,7,8,9,10,,
xqd20160143,PAIDOFF,1000,7,27,0,1,0,0,0,1,,
xqd20160384,COLLECTION,1000,30,26,0,1,0,0,0,1,,
xqd20160137,PAIDOFF,800,15,32,0,1,0,0,1,0,,
xqd20160494,COLLECTION_PAIDOFF,1000,15,29,0,0,0,1,0,1,,
xqd20160124,PAIDOFF,1000,15,23,0,0,0,1,0,1,,
xqd20160024,PAIDOFF,1000,15,26,0,0,0,1,0,1,,349
xqd20160070,PAIDOFF,1000,30,43,1,0,0,0,0,1,,
xqd20160022,PAIDOFF,1000,30,43,0,1,0,0,1,0,,
xqd20160376,COLLECTION,800,15,26,0,1,0,0,1,0,,
xqd20160016,PAIDOFF,800,15,26,0,0,0,1,0,1,,
xqd20160280,PAIDOFF,800,30,31,0,0,0,1,0,1,,
xqd20160227,PAIDOFF,1000,15,25,0,1,0,0,0,1,,
xqd20160066,PAIDOFF,900,15,28,0,0,0,1,0,1,,
xqd20160382,COLLECTION,800,15,35,0,1,0,0,0,1,,
xqd20160233,PAIDOFF,1000,30,37,0,0,0,1,0,1,,
xqd20160083,PAIDOFF,1000,15,29,0,0,0,1,0,1,,
xqd20160357,COLLECTION,1000,30,45,0,1,0,0,0,1,,
xqd20160304,COLLECTION,800,15,27,0,0,0,1,0,1,,
xqd20160500,COLLECTION_PAIDOFF,1000,30,28,0,1,0,0,0,1,,
xqd20160472,COLLECTION_PAIDOFF,1000,30,27,1,0,0,0,0,1,,
xqd20160456,COLLECTION_PAIDOFF,1000,15,37,0,0,0,1,0,1,,
xqd20160162,PAIDOFF,800,15,31,1,0,0,0,0,1,,
xqd20160479,COLLECTION_PAIDOFF,1000,15,22,0,1,0,0,0,1,,
xqd20160365,COLLECTION,800,15,22,0,0,0,1,0,1,,
xqd20160497,COLLECTION_PAIDOFF,1000,15,26,0,1,0,0,0,1,,
xqd20160208,PAIDOFF,1000,30,27,0,0,0,1,0,1,,
xqd20160321,COLLECTION,1000,30,25,0,0,0,1,0,1,,
xqd20160053,PAIDOFF,800,15,35,1,0,0,0,1,0,,
xqd20160308,COLLECTION,1000,30,40,0,1,0,0,0,1,,
xqd20390453,COLLECTION_PAIDOFF,1000,15,26,0,1,0,0,0,1,,
xqd20160333,COLLECTION,1000,30,21,0,1,0,0,0,1,,
xqd20160166,PAIDOFF,1000,30,24,0,1,0,0,0,1,,
xqd20160108,PAIDOFF,1000,30,31,0,1,0,0,0,1,,
xqd20160482,COLLECTION_PAIDOFF,1000,15,27,0,1,0,0,0,1,,
xqd20160065,PAIDOFF,800,15,24,0,1,0,0,0,1,,
xqd20160345,COLLECTION,800,15,38,1,0,0,0,0,1,,
xqd20160428,COLLECTION_PAIDOFF,1000,30,27,0,0,0,1,1,0,,
xqd20160440,COLLECTION_PAIDOFF,1000,30,24,0,0,0,1,0,1,,
xqd20160322,COLLECTION,1000,30,28,0,1,0,0,0,1,,
xqd91160291,PAIDOFF,800,15,34,0,0,0,1,1,0,,
xqd20160314,COLLECTION,1000,30,20,0,1,0,0,0,1,,
xqd20160452,COLLECTION_PAIDOFF,800,15,41,0,0,0,1,0,1,,
xqd20167095,PAIDOFF,1000,30,33,0,1,0,0,0,1,,
xqd20160300,PAIDOFF,1000,30,28,0,0,0,1,0,1,,
xqd20160460,COLLECTION_PAIDOFF,800,15,33,0,0,0,1,0,1,,
xqd20160310,COLLECTION,800,15,41,0,0,0,1,0,1,,
xqd20160396,COLLECTION,1000,30,25,0,1,0,0,0,1,,
xqd20160094,PAIDOFF,800,15,27,0,1,0,0,0,1,,
xqd20160020,PAIDOFF,800,30,26,0,0,0,1,0,1,,
xqd20160200,PAIDOFF,1000,30,29,0,0,0,1,0,1,,
xqd20160147,PAIDOFF,1000,30,26,0,0,0,1,1,0,,
xqd20160160,PAIDOFF,1000,30,27,0,1,0,0,0,1,,
xqd34160152,PAIDOFF,800,15,23,0,0,0,1,0,1,,
xqd20160480,COLLECTION_PAIDOFF,1000,30,27,1,0,0,0,0,1,,
xqd20160169,PAIDOFF,1000,15,35,0,1,0,0,0,1,,
xqd20160257,PAIDOFF,800,15,28,0,0,0,1,0,1,,
xqd20160232,PAIDOFF,1000,7,34,0,0,0,1,1,0,,
xqd20160423,COLLECTION_PAIDOFF,800,15,23,0,1,0,0,0,1,,
xqd20160068,PAIDOFF,1000,30,37,0,1,0,0,0,1,,
xqd20160311,COLLECTION,1000,30,30,0,0,0,1,0,1,,
xqd20160255,PAIDOFF,1000,30,32,0,0,0,1,0,1,,
xqd20160142,PAIDOFF,800,15,35,0,0,0,1,0,1,,
xqd20160103,PAIDOFF,1000,30,30,0,0,0,1,0,1,,
xqd20160429,COLLECTION_PAIDOFF,1000,30,35,0,1,0,0,0,1,,
xqd20160004,PAIDOFF,1000,15,27,0,0,0,1,0,1,,
xqd20110409,COLLECTION_PAIDOFF,1000,30,28,0,1,0,0,0,1,,
xqd20160019,PAIDOFF,1000,30,32,0,1,0,0,0,1,,
xqd20160148,PAIDOFF,300,7,37,0,0,1,0,0,1,,
xqd20160251,PAIDOFF,800,15,38,0,0,0,1,0,1,,
xqd20160265,PAIDOFF,800,15,23,0,0,0,1,0,1,,
xqd20160032,PAIDOFF,1000,30,37,0,0,0,1,0,1,,
xqd20160116,PAIDOFF,1000,15,25,0,1,0,0,0,1,,
xqd20160249,PAIDOFF,1000,30,35,0,1,0,0,0,1,,
xqd20160105,PAIDOFF,1000,15,35,0,0,0,1,0,1,,
xqd25660470,COLLECTION_PAIDOFF,1000,30,26,0,1,0,0,0,1,,
xqd20160312,COLLECTION,800,15,26,0,1,0,0,1,0,,
xqd20160178,PAIDOFF,1000,30,30,0,0,0,1,0,1,,
xqd20160248,PAIDOFF,800,15,34,0,1,0,0,0,1,,
