Date,Total_vaccination,Confirm
2020-01-20,0,1
2020-01-21,0,1
2020-01-22,0,1
2020-01-23,0,1
2020-01-24,0,2
2020-01-25,0,2
2020-01-26,0,3
2020-01-27,0,4
2020-01-28,0,4
2020-01-29,0,4
2020-01-30,0,6
2020-01-31,0,11
2020-02-01,0,12
2020-02-02,0,15
2020-02-03,0,15
2020-02-04,0,16
2020-02-05,0,19
2020-02-06,0,23
2020-02-07,0,24
2020-02-08,0,24
2020-02-09,0,27
2020-02-10,0,27
2020-02-11,0,28
2020-02-12,0,28
2020-02-13,0,28
2020-02-14,0,28
2020-02-15,0,28
2020-02-16,0,29
2020-02-17,0,30
2020-02-18,0,31
2020-02-19,0,51
2020-02-20,0,104
2020-02-21,0,204
2020-02-22,0,433
2020-02-23,0,602
2020-02-24,0,833
2020-02-25,0,977
2020-02-26,0,1261
2020-02-27,0,1766
2020-02-28,0,2337
2020-02-29,0,3150
2020-03-01,0,3736
2020-03-02,0,4212
2020-03-03,0,4812
2020-03-04,0,5328
2020-03-05,0,5766
2020-03-06,0,6284
2020-03-07,0,6767
2020-03-08,0,7134
2020-03-09,0,7382
2020-03-10,0,7513
2020-03-11,0,7755
2020-03-12,0,7869
2020-03-13,0,7979
2020-03-14,0,8086
2020-03-15,0,8162
2020-03-16,0,8236
2020-03-17,0,8320
2020-03-18,0,8413
2020-03-19,0,8565
2020-03-20,0,8652
2020-03-21,0,8799
2020-03-22,0,8897
2020-03-23,0,8961
2020-03-24,0,9037
2020-03-25,0,9137
2020-03-26,0,9241
2020-03-27,0,9332
2020-03-28,0,9478
2020-03-29,0,9583
2020-03-30,0,9661
2020-03-31,0,9786
2020-04-01,0,9887
2020-04-02,0,9976
2020-04-03,0,10062
2020-04-04,0,10156
2020-04-05,0,10237
2020-04-06,0,10284
2020-04-07,0,10331
2020-04-08,0,10384
2020-04-09,0,10423
2020-04-10,0,10450
2020-04-11,0,10480
2020-04-12,0,10512
2020-04-13,0,10537
2020-04-14,0,10564
2020-04-15,0,10591
2020-04-16,0,10613
2020-04-17,0,10635
2020-04-18,0,10653
2020-04-19,0,10661
2020-04-20,0,10674
2020-04-21,0,10683
2020-04-22,0,10694
2020-04-23,0,10702
2020-04-24,0,10708
2020-04-25,0,10718
2020-04-26,0,10728
2020-04-27,0,10738
2020-04-28,0,10752
2020-04-29,0,10761
2020-04-30,0,10765
2020-05-01,0,10774
2020-05-02,0,10780
2020-05-03,0,10793
2020-05-04,0,10801
2020-05-05,0,10804
2020-05-06,0,10806
2020-05-07,0,10810
2020-05-08,0,10822
2020-05-09,0,10840
2020-05-10,0,10874
2020-05-11,0,10909
2020-05-12,0,10936
2020-05-13,0,10962
2020-05-14,0,10991
2020-05-15,0,11018
2020-05-16,0,11037
2020-05-17,0,11050
2020-05-18,0,11065
2020-05-19,0,11078
2020-05-20,0,11110
2020-05-21,0,11122
2020-05-22,0,11142
2020-05-23,0,11165
2020-05-24,0,11190
2020-05-25,0,11206
2020-05-26,0,11225
2020-05-27,0,11265
2020-05-28,0,11344
2020-05-29,0,11402
2020-05-30,0,11441
2020-05-31,0,11468
2020-06-01,0,11503
2020-06-02,0,11541
2020-06-03,0,11590
2020-06-04,0,11629
2020-06-05,0,11668
2020-06-06,0,11719
2020-06-07,0,11776
2020-06-08,0,11814
2020-06-09,0,11852
2020-06-10,0,11902
2020-06-11,0,11947
2020-06-12,0,12003
2020-06-13,0,12051
2020-06-14,0,12085
2020-06-15,0,12121
2020-06-16,0,12155
2020-06-17,0,12198
2020-06-18,0,12257
2020-06-19,0,12306
2020-06-20,0,12373
2020-06-21,0,12421
2020-06-22,0,12438
2020-06-23,0,12484
2020-06-24,0,12535
2020-06-25,0,12563
2020-06-26,0,12602
2020-06-27,0,12653
2020-06-28,0,12715
2020-06-29,0,12757
2020-06-30,0,12800
2020-07-01,0,12850
2020-07-02,0,12904
2020-07-03,0,12967
2020-07-04,0,13030
2020-07-05,0,13091
2020-07-06,0,13137
2020-07-07,0,13181
2020-07-08,0,13244
2020-07-09,0,13293
2020-07-10,0,13338
2020-07-11,0,13373
2020-07-12,0,13417
2020-07-13,0,13479
2020-07-14,0,13512
2020-07-15,0,13551
2020-07-16,0,13612
2020-07-17,0,13672
2020-07-18,0,13711
2020-07-19,0,13745
2020-07-20,0,13771
2020-07-21,0,13816
2020-07-22,0,13879
2020-07-23,0,13938
2020-07-24,0,13979
2020-07-25,0,14092
2020-07-26,0,14150
2020-07-27,0,14175
2020-07-28,0,14203
2020-07-29,0,14251
2020-07-30,0,14269
2020-07-31,0,14305
