Date,0-9,10월 19일,20-29,30-39,40-49,50-59,60-69,70-79,80 or above,Total_tested,Negative,Release,Under_test,Total_vaccination,Confirm,New_cases
2021-05-28,6134,9883,20799,19049,20910,25559,21107,9744,5713,9702456,9440686,"128,761",122872,4688520,"138,898",533
2021-05-27,6122,9833,20682,18959,20795,25472,21030,9720,5698,9665693,9404723,"128,180",122659,4030744,"138,311",587
2021-05-26,6096,9807,20551,18866,20695,25350,20947,9688,5682,9629458,9370707,"127,582",121069,3942775,"137,682",629
2021-05-25,6052,9761,20449,18748,20567,25223,20856,9659,5668,9592727,9338646,"126,993",117098,3864784,"136,983",699
2021-05-24,6034,9727,20366,18654,20475,25130,20782,9635,5664,9553613,9296442,"126,427",120704,3792906,"136,467",516
2021-05-23,5999,9685,20291,18560,20383,25034,20707,9610,5660,9536299,9278135,"125,881",122235,3792660,"135,929",538
2021-05-22,5975,9642,20193,18465,20283,24933,20625,9581,5647,9520966,9268064,"125,032",117558,3787570,"135,344",585
2021-05-21,5948,9594,20062,18353,20169,24833,20540,9544,5635,9487108,9238286,"124,158",114144,3772599,"134,678",666
2021-05-20,5902,9547,19980,18265,20071,24744,20459,9519,5630,9447358,9204368,"123,659",108873,3760940,"134,117",561
2021-05-19,5871,9476,19878,18161,19948,24648,20384,9486,5619,9428644,9190679,"123,237",104494,3759058,"133,471",646
2021-05-18,5841,9420,19776,18061,19844,24526,20289,9453,5608,9395004,9158773,"122,631",103413,3745934,"132,818",653
2021-05-17,5810,9370,19686,17978,19763,24440,20214,9428,5601,9353300,9119206,"122,163",101804,3733806,"132,290",528
2021-05-16,5781,9317,19571,17888,19666,24334,20134,9391,5589,9336614,9103280,"121,764",101663,3733796,"131,671",619
2021-05-15,5735,9274,19481,17806,19572,24219,20051,9349,5574,9319094,9088817,"121,282",99216,3731221,"131,061",610
2021-05-14,5700,9213,19385,17697,19461,24088,19967,9307,5562,9281291,9055703,"120,395",95208,3719983,"130,380",681
2021-05-13,5668,9153,19284,17586,19328,23969,19848,9266,5531,9241153,9024003,"119,906",87517,3711023,"129,633",747
2021-05-12,5633,9089,19190,17472,19201,23836,19754,9228,5515,9201539,8988342,"119,373",84279,3698657,"128,918",715
2021-05-11,5595,9050,19100,17384,19087,23716,19667,9184,5500,9164284,8951373,"118,717",84628,3692566,"128,283",635
2021-05-10,5577,9009,19009,17304,18985,23637,19604,9156,5491,9122059,8910889,"117,844",83398,3674729,"127,772",511
2021-05-09,5561,8956,18938,17240,18912,23569,19529,9121,5483,9105771,8897182,"117,423",81280,3674682,"127,309",463
2021-05-08,5521,8907,18860,17158,18840,23461,19453,9083,5462,9089166,8884162,"116,881",78259,3662587,"126,745",564
2021-05-07,5492,8849,18747,17047,18728,23336,19349,9049,5447,9051354,8846414,"116,022",78896,3608616,"126,044",701
2021-05-06,5460,8797,18671,16978,18658,23230,19270,9019,5436,9010992,8808418,"115,491",77055,3560324,"125,519",525
2021-05-05,5426,8759,18585,16895,18556,23117,19199,8986,5422,8994069,8790129,"114,944",78995,3530014,"124,945",574
2021-05-04,5394,8702,18487,16790,18439,23001,19097,8951,5408,8957155,8754790,"114,128",78096,3466908,"124,269",676
2021-05-03,5368,8655,18405,16698,18356,22909,19022,8928,5387,8915326,8702576,"113,356",89022,3396864,"123,728",541
2021-05-02,5336,8622,18345,16623,18269,22815,18962,8895,5373,8898234,8688387,"112,865",86607,3395104,"123,240",488
